Year,Value
1990,19897.804
1991,14937.806
1992,19214.704
1993,22590.978
1994,24931.832
1995,25682.637
1996,23166.874
1997,26392.636
1998,31307.44
1999,30987.476
2000,32820.826
2001,37907.259
2002,42107.618
2003,51919.44
2004,49549.94
2005,51182.072
2006,52464.64
2007,57857.172
2008,59833.104
2009,57345.382
2010,68756.343
2011,74815.447
2012,65848.857
2013,81724.477
2014,86760.52
2015,97464.936
2016,96394.82
2017,114732.101
2018,117912.45
2019,114316.829
2020,121797.712
