i_type,i_name,i_id,i_to,i_dat_type
input,i_demand_cereals,i1,"s_cereals, s_lfa_cereals",non_spat
input,i_demand_veg,i2,s_veg,non_spat
input,i_demand_dairy,i3,"s_dairy, s_lfa_dairy",non_spat
input,i_demand_rg,i4,"s_rg, s_lfa_rg",non_spat
input,i_demand_hardwood,i5,"s_forest, s_lfa_forest",non_spat
input,i_demand_softwood,i6,"s_farm_woodland_cropland, s_farm_woodland_grassland, s_lfa_farm_woodland_cropland, s_lfa_farm_woodland_grassland",non_spat
input,i_demand_carbon,i7,"s_farm_woodland_cropland, s_farm_woodland_grassland, s_lfa_farm_woodland_cropland s_lfa_farm_woodland_grassland, s_biomass_cropland, s_biomass_grassland, s_lfa_biomass_cropland, s_lfa_biomass_grassland",non_spat
input,i_demand_biomass,i8,"s_biomass_cropland, s_biomass_grassland, s_lfa_biomass_cropland, s_lfa_biomass_grassland",non_spat
input,i_demand_peat,i9,"s_peat_cropland, s_peat_grassland, s_lfa_peat_cropland, s_lfa_peat_grassland",non_spat
input,i_farmer_age,i9,"s_cereals, s_lfa_cereals, s_veg, s_dairy, s_lfa_dairy, s_rg, s_lfa_rg, s_forest, s_lfa_forest, s_farm_woodland_cropland, s_farm_woodland_grassland, s_lfa_farm_woodland_cropland, s_lfa_farm_woodland_grassland, s_biomass_cropland, s_biomass_grassland, s_lfa_biomass_cropland, s_lfa_biomass_grassland",non_spat
