Year,Consumption
1990,443.4776144
1991,453.0269575
1992,426.0900235
1993,375.4671301
1994,355.9778573
1995,375.0746447
1996,345.0140125
1997,369.718675
1998,352.2080614
1999,354.3992865
2000,361.6878354
2001,339.1527379
2002,360.7275141
2003,377.1070883
2004,395.7136299
2005,414.8993372
2006,451.4552465
2007,467.074488
2008,458.1341686
2009,442.9422388
2010,474.2501117
2011,470.8684118
2012,451.7996072
2013,442.6513071
2014,464.7213214
2015,475.8295664
2016,485.765255
2017,488.349283
2018,493.4146068
2019,478.5721424
2020,488.5599743
