Year,s_commodity,s_price,s_prod_adjust,s_yield,s_carbon_yield,s_subsidy,s_margin
1984,Softwood,,,,17.63,0,0.7
1985,Softwood,,,,17.63,0,0.7
1986,Softwood,,,,17.63,0,0.7
1987,Softwood,,,2.6,17.63,3.099074242,0.7
1988,Softwood,,,2.6,17.63,8.332356433,0.7
1989,Softwood,,,2.6,17.63,13.76485296,0.7
1990,Softwood,83.31,16.22039796,2.6,17.63,14.70832881,0.7
1991,Softwood,83.62,16.22039796,2.6,17.63,26.2385371,0.7
1992,Softwood,83.83,16.22039796,2.6,17.63,39.93043158,0.7
1993,Softwood,84.01,16.22039796,2.6,17.63,61.36248058,0.7
1994,Softwood,84.23,16.22039796,2.6,17.63,75.43144977,0.7
1995,Softwood,84.51,16.22039796,2.6,17.63,71.25917517,0.7
1996,Softwood,84.74,16.22039796,2.6,17.63,80.21309399,0.7
1997,Softwood,85,16.22039796,2.6,17.63,81.45206744,0.7
1998,Softwood,85.27,16.22039796,2.6,17.63,98.03344713,0.7
1999,Softwood,85.64,16.23396178,2.6,17.63,96.19922854,0.7
2000,Softwood,89.62,16.54846347,2.6,17.63,104.9324752,0.7
2001,Softwood,93.06,15.97388717,2.6,17.63,126.3918113,0.7
2002,Softwood,91.25,15.73033697,2.6,17.63,143.4573513,0.7
2003,Softwood,90.53,16.59010444,2.6,17.63,170.4151912,0.7
2004,Softwood,97.77,16.30511036,2.6,17.63,193.8008169,0.7
2005,Softwood,97.77,15.69051452,2.6,17.63,380.7281947,0.7
2006,Softwood,101.57,15.28066525,2.6,17.63,535.7975634,0.7
2007,Softwood,102.66,15.86821813,2.6,17.63,596.4651111,0.7
2008,Softwood,89.44,14.18781975,2.6,17.63,644.5408499,0.7
2009,Softwood,79.66,15.24784084,2.6,17.63,638.8973137,0.7
2010,Softwood,82.92,17.50501449,2.6,17.63,666.5302219,0.7
2011,Softwood,82.38,17.66026683,2.6,17.63,669.5338407,0.7
2012,Softwood,78.22,17.63444066,2.6,17.63,611.7681176,0.7
2013,Softwood,84.73,17.89899839,2.6,17.63,580.3477228,0.7
2014,Softwood,96.68,18.20334811,2.6,17.63,513.8567467,0.7
2015,Softwood,90.03,16.42028845,2.6,17.63,473.8381438,0.7
2016,Softwood,91.87,15.69604496,2.6,17.63,422.7194692,0.7
2017,Softwood,92.95,15.92735622,2.6,17.63,381.523472,0.7
2018,Softwood,122.34,16.22482967,2.6,17.63,380.541292,0.7
2019,Softwood,132.73,15.33592994,2.6,17.63,378.2583809,0.7
2020,Softwood,115.65,14.68531471,2.6,17.63,415.2829774,0.7
