Year,s_commodity,s_nursery_stock
1984,Hardwood,
1985,Hardwood,
1986,Hardwood,
1987,Hardwood,
1988,Hardwood,
1989,Hardwood,
1990,Hardwood,
1991,Hardwood,
1992,Hardwood,
1993,Hardwood,
1994,Hardwood,
1995,Hardwood,
1996,Hardwood,
1997,Hardwood,
1998,Hardwood,
1999,Hardwood,
2000,Hardwood,
2001,Hardwood,
2002,Hardwood,
2003,Hardwood,
2004,Hardwood,
2005,Hardwood,20.97142857
2006,Hardwood,21.65714286
2007,Hardwood,24.11428571
2008,Hardwood,22.62857143
2009,Hardwood,18.05714286
2010,Hardwood,21.54285714
2011,Hardwood,21.65714286
2012,Hardwood,22.22857143
2013,Hardwood,25.77142857
2014,Hardwood,27.02857143
2015,Hardwood,31.48571429
2016,Hardwood,33.82857143
2017,Hardwood,33.02857143
2018,Hardwood,38.51428571
2019,Hardwood,34.57142857
2020,Hardwood,36.54285714
