Year,s_commodity,s_production,s_prod_adjust,s_yield,s_price,s_size,s_surplus,s_subsidy,s_rented
1984,Dairy,"15,722",1,,NA,NA,NA,36.91509528,
1985,Dairy,"15,653",1,,NA,NA,NA,37.12296984,
1986,Dairy,"15,872",1,,NA,NA,NA,36.86914476,
1987,Dairy,"15,062",1,,NA,NA,NA,35.75638507,
1988,Dairy,"14,744",1,,NA,NA,NA,37.42792925,
1989,Dairy,"14,530",1,,NA,NA,NA,32.03883495,
1990,Dairy,"14,816",1,12,19,89.0252309,NA,24.0249003,0.404760033
1991,Dairy,"14,344",1,11,20,89.0252309,NA,34.8350686,0.40367314
1992,Dairy,"14,249",1,11,21,89.0252309,NA,15.0655449,0.402586247
1993,Dairy,"14,310",1,12,22,89.0252309,NA,12.80409731,0.401499354
1994,Dairy,"14,542",1,13,22,89.0252309,NA,10.86850093,0.400412461
1995,Dairy,"14,252",1,14,25,89.0252309,1,10.62992126,0.399325568
1996,Dairy,"14,249",1,13,25,89.0252309,1.004,85.62388768,0.398238675
1997,Dairy,"14,419",1,13,22,89.0252309,1.011,66.40507093,0.397151782
1998,Dairy,"14,213",1,14,20,89.0252309,1.017,53.88082123,0.396064889
1999,Dairy,"14,580",1,16,19,89.0252309,1.025,52.77334397,0.394977996
2000,Dairy,"14,071",1,15,17,89.0252309,1.025,44.045677,0.393891102
2001,Dairy,"14,284",1,15,19,89.0252309,1.025,22.95638287,0.392804209
2002,Dairy,"14,440",1,15,17,89.0252309,1.025,23.6834216,0.391717316
2003,Dairy,"14,576",1,16,18,89.0252309,1.021,19.87614862,0.390630423
2004,Dairy,"14,127",1,14,19,89.0252309,1.027,20.41021516,0.38954353
2005,Dairy,"14,052",1,15,19,91.2808524,1.043,154.2241638,0.388456637
2006,Dairy,"13,902",1,16,18,93.5364739,1.044,143.0723626,0.387369744
2007,Dairy,"13,619",1,14,21,95.7920954,1.037,133.1280433,0.386282851
2008,Dairy,"13,319",1,14,26,98.0477169,1.04,149.2056645,0.385195958
2009,Dairy,"13,128",1,14,24,100.3033384,1.028,172.005772,0.389105281
2010,Dairy,"13,453",1,14,25,102.5589599,1.025,162.2954625,0.393014604
2011,Dairy,"13,665",1,14,28,104.8145814,1.029,163.3473096,0.391251901
2012,Dairy,"13,443",1,15,28,103.7830409,1.026,151.2507272,0.384028418
2013,Dairy,"13,534",1,15,32,108.1421714,1.024,155.6289472,0.38369888
2014,Dairy,"14,616",1,16,32,109.5737167,1.028,135.5568445,0.376421911
2015,Dairy,"15,011",1,17,25,111.0052619,1.036,128.3023269,0.371506663
2016,Dairy,"14,372",1,18,23,112.4368072,1.047,148.5599078,0.374095686
2017,Dairy,"14,964",1,17,29,114.0448044,1.056,172.3396658,0.37119119
2018,Dairy,"15,013",1,18,30,115.6528016,1.059,172.8815794,0.373963639
2019,Dairy,"15,215",1,19,29,117.2607988,1.055,175.6884611,0.373885902
2020,Dairy,"15,229",1,19,29,118.868796,1.053,179.1467138,0.371066349
