Year,s_commodity,s_price,s_prod_adjust,s_yield,s_carbon_yield,s_prod_adjust,s_subsidy,s_margin
1984,Peat,0,0,0,29.52,0,0,0
1985,Peat,0,0,0,29.52,0,0,0
1986,Peat,0,0,0,29.52,0,0,0
1987,Peat,0,0,0,29.52,0,3.099074242,0
1988,Peat,0,0,0,29.52,0,8.332356433,0
1989,Peat,0,0,0,29.52,0,13.76485296,0
1990,Peat,0,0,0,26.74,0,14.70832881,0
1991,Peat,0,0,0,26.74,0,26.2385371,0
1992,Peat,0,0,0,26.74,0,39.93043158,0
1993,Peat,0,0,0,26.74,0,61.36248058,0
1994,Peat,0,0,0,26.74,0,75.43144977,0
1995,Peat,0,0,0,26.74,0,71.25917517,0
1996,Peat,0,0,0,26.74,0,80.21309399,0
1997,Peat,0,0,0,26.74,0,81.45206744,0
1998,Peat,0,0,0,26.74,0,98.03344713,0
1999,Peat,0,0,0,26.74,0,96.19922854,0
2000,Peat,0,0,0,26.74,0,104.9324752,0
2001,Peat,0,0,0,26.74,0,126.3918113,0
2002,Peat,0,0,0,26.74,0,143.4573513,0
2003,Peat,0,0,0,26.74,0,170.4151912,0
2004,Peat,0,0,0,26.74,0,193.8008169,0
2005,Peat,0,0,0,26.74,0,380.7281947,0
2006,Peat,0,0,0,26.74,0,535.7975634,0
2007,Peat,0,0,0,26.74,0,596.4651111,0
2008,Peat,0,0,0,26.74,0,644.5408499,0
2009,Peat,0,0,0,26.74,0,638.8973137,0
2010,Peat,0,0,0,26.74,0,666.5302219,0
2011,Peat,0,0,0,26.74,0,669.5338407,0
2012,Peat,0,0,0,26.74,0,611.7681176,0
2013,Peat,0,0,0,26.74,0,580.3477228,0
2014,Peat,0,0,0,26.74,0,513.8567467,0
2015,Peat,0,0,0,26.74,0,473.8381438,0
2016,Peat,0,0,0,26.74,0,422.7194692,0
2017,Peat,0,0,0,26.74,0,381.523472,0
2018,Peat,0,0,0,26.74,0,380.541292,0
2019,Peat,0,0,0,26.74,0,378.2583809,0
2020,Peat,0,0,0,26.74,0,415.2829774,0
