Year,s_commodity,s_price,s_prod_adjust,s_yield,s_carbon_yield,s_prod_adjust,s_subsidy
1984,Peat,0,0,0,10.551802,0,0
1985,Peat,0,0,0,10.551802,0,0
1986,Peat,0,0,0,10.551802,0,0
1987,Peat,0,0,0,10.551802,0,3.099074242
1988,Peat,0,0,0,10.551802,0,8.332356433
1989,Peat,0,0,0,10.551802,0,13.76485296
1990,Peat,0,0,0,10.551802,0,14.70832881
1991,Peat,0,0,0,10.551802,0,26.2385371
1992,Peat,0,0,0,10.551802,0,39.93043158
1993,Peat,0,0,0,10.551802,0,61.36248058
1994,Peat,0,0,0,10.551802,0,75.43144977
1995,Peat,0,0,0,10.551802,0,71.25917517
1996,Peat,0,0,0,10.551802,0,80.21309399
1997,Peat,0,0,0,10.551802,0,81.45206744
1998,Peat,0,0,0,10.551802,0,98.03344713
1999,Peat,0,0,0,10.551802,0,96.19922854
2000,Peat,0,0,0,10.551802,0,104.9324752
2001,Peat,0,0,0,10.551802,0,126.3918113
2002,Peat,0,0,0,10.551802,0,143.4573513
2003,Peat,0,0,0,10.551802,0,170.4151912
2004,Peat,0,0,0,10.551802,0,193.8008169
2005,Peat,0,0,0,10.551802,0,380.7281947
2006,Peat,0,0,0,10.551802,0,535.7975634
2007,Peat,0,0,0,10.551802,0,596.4651111
2008,Peat,0,0,0,10.551802,0,644.5408499
2009,Peat,0,0,0,10.551802,0,638.8973137
2010,Peat,0,0,0,10.551802,0,666.5302219
2011,Peat,0,0,0,10.551802,0,669.5338407
2012,Peat,0,0,0,10.551802,0,611.7681176
2013,Peat,0,0,0,10.551802,0,580.3477228
2014,Peat,0,0,0,10.551802,0,513.8567467
2015,Peat,0,0,0,10.551802,0,473.8381438
2016,Peat,0,0,0,10.551802,0,422.7194692
2017,Peat,0,0,0,10.551802,0,381.523472
2018,Peat,0,0,0,10.551802,0,380.541292
2019,Peat,0,0,0,10.551802,0,378.2583809
2020,Peat,0,0,0,10.551802,0,415.2829774
